"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Navegação no Blog do Agi","Validar submenus de segundo nível em ""Empréstimos""","1","0","0","0","0"
"","Navegação no Blog do Agi","Acesso à página inicial","0","0","1","0","0"
"","Navegação no Blog do Agi","Validar redes sociais no rodapé","0","0","1","0","0"
"","Navegação no Blog do Agi","Validar presença de todos os menus principais","0","0","1","0","0"
"","Busca de artigos no Blog do Agi","Validar ícone de busca está presente","0","0","1","0","0"
"","Navegação no Blog do Agi","Verificar responsividade em diferentes resoluções","0","0","3","0","0"
"","Navegação no Blog do Agi","Validar submenus do menu ""O Agibank""","0","0","1","0","0"
"","Navegação no Blog do Agi","Presença do ícone de busca","0","0","1","0","0"
"","Navegação no Blog do Agi","Validar submenus do menu ""Produtos""","0","0","1","0","0"
